Rank,CityName,StateName,StateCode,Population,Latitude,Longitude,GeonamePopulation,GeonameId
181,Mesquite,Texas,TX,144788,32.7668,-96.59916,139824,4710826
182,Syracuse,New York,NY,144142,43.04812,-76.14742,145170,5140405
183,Pasadena,California,CA,142250,34.14778,-118.14452,137122,5381396
184,Orange,California,CA,140992,33.78779,-117.85311,136416,5379513
185,Fullerton,California,CA,140847,33.87029,-117.92534,135161,5351247
186,Killeen,Texas,TX,140806,31.11712,-97.7278,127921,4703223
187,Dayton,Ohio,OH,140599,39.75895,-84.19161,141527,4509884
188,McAllen,Texas,TX,140269,26.20341,-98.23001,129877,4709796
189,Bellevue,Washington,WA,139820,47.61038,-122.20068,122363,5786882
190,Miramar,Florida,FL,137132,25.98731,-80.23227,122041,4164601
191,Hampton,Virginia,VA,136454,37.02987,-76.34522,137436,4762894
192,West Valley City,Utah,UT,136208,40.69161,-112.00105,129480,5784607
193,Warren,Michigan,MI,135358,42.47754,-83.0277,134056,5014051
194,Olathe,Kansas,KS,134305,38.8814,-94.81913,125872,4276614
195,Columbia,South Carolina,SC,133803,34.00071,-81.03481,129272,4575352
196,Thornton,Colorado,CO,133451,39.86804,-104.97192,118772,5441492
197,Carrollton,Texas,TX,133168,32.95373,-96.89028,119097,4679195
198,Midland,Texas,TX,132950,31.99735,-102.07791,111147,5526337
199,Charleston,South Carolina,SC,132609,32.77657,-79.93092,120083,4574324
200,Waco,Texas,TX,132356,31.54933,-97.14667,124805,4739526
201,Sterling Heights,Michigan,MI,132052,42.58031,-83.0302,129699,5011148
202,Denton,Texas,TX,131044,33.21484,-97.13307,113383,4685907
203,Cedar Rapids,Iowa,IA,130405,42.00833,-91.64407,126326,4850751
204,New Haven,Connecticut,CT,130322,41.30815,-72.92816,129779,4839366
205,Roseville,California,CA,130269,38.75212,-121.28801,118788,5388881
206,Gainesville,Florida,FL,130128,29.65163,-82.32483,124354,4156404
207,Visalia,California,CA,130104,36.33023,-119.29206,124442,5406567
208,Coral Springs,Florida,FL,129485,26.27119,-80.2706,121096,4151909
209,Thousand Oaks,California,CA,129339,34.17056,-118.83759,126683,5402405
210,Elizabeth,New Jersey,NJ,129007,40.66399,-74.2107,124969,5097598
211,Stamford,Connecticut,CT,128874,41.05343,-73.53873,122643,4843564
212,Concord,California,CA,128667,37.97798,-122.03107,122067,5339111
213,Surprise,Arizona,AZ,128422,33.63059,-112.33322,117517,5316428
214,Lafayette,Louisiana,LA,127657,30.22409,-92.01984,120623,4330145
215,Topeka,Kansas,KS,127265,39.04833,-95.67804,127473,4280539
216,Kent,Washington,WA,126952,47.38093,-122.23484,92411,5799625
217,Simi Valley,California,CA,126788,34.26945,-118.78148,124237,5396003
218,Santa Clara,California,CA,126215,37.35411,-121.95524,116468,5393015
219,Murfreesboro,Tennessee,TN,126118,35.84562,-86.39027,108755,4644312
220,Hartford,Connecticut,CT,124006,41.76371,-72.68509,124775,4835797
221,Athens,Georgia,GA,122604,33.96095,-83.37794,116714,4180386
222,Victorville,California,CA,122225,34.53611,-117.29116,115903,5406222
223,Abilene,Texas,TX,121721,32.44874,-99.73314,117063,4669635
224,Vallejo,California,CA,121253,38.10409,-122.25664,115942,5405380
225,Berkeley,California,CA,120972,37.87159,-122.27275,112580,5327684
226,Norman,Oklahoma,OK,120284,35.22257,-97.43948,110925,4543762
227,Allentown,Pennsylvania,PA,120207,40.60843,-75.49018,118032,5178127
228,Evansville,Indiana,IN,119943,37.97476,-87.55585,117429,4257227
229,Columbia,Missouri,MO,119108,38.95171,-92.33407,108500,4381982
230,Odessa,Texas,TX,118968,31.84568,-102.36764,99940,5527554
231,Fargo,North Dakota,ND,118523,46.87719,-96.7898,105549,5059163
232,Beaumont,Texas,TX,118129,30.08605,-94.10185,118296,4672989
233,Independence,Missouri,MO,117255,39.09112,-94.41551,116830,4391812
234,Ann Arbor,Michigan,MI,117070,42.27756,-83.74088,113934,4984247
